protein	geneSymbol	moduleColor	MM.green	p.MM.green	MM.red	p.MM.red	MM.brown	p.MM.brown	MM.magenta	p.MM.magenta	MM.pink	p.MM.pink	MM.greenyellow	p.MM.greenyellow	MM.yellow	p.MM.yellow	MM.blue	p.MM.blue	MM.turquoise	p.MM.turquoise	MM.purple	p.MM.purple	MM.grey	p.MM.grey	MM.black	p.MM.black	MM.tan	p.MM.tan	GS.eggs	p.GS.eggs	GS.legs	p.GS.legs	GS.post_gnathopods	p.GS.post_gnathopods	GS.antennas	p.GS.antennas	GS.hepatopancreas	p.GS.hepatopancreas	GS.muscle	p.GS.muscle	GS.head	p.GS.head	GS.gills	p.GS.gills	GS.female	p.GS.female	GS.male	p.GS.male	GS.legs_f	p.GS.legs_f	GS.legs_m	p.GS.legs_m	GS.post_gnathopods_f	p.GS.post_gnathopods_f	GS.post_gnathopods_m	p.GS.post_gnathopods_m	GS.antennas_f	p.GS.antennas_f	GS.antennas_m	p.GS.antennas_m	GS.hepatopancreas_f	p.GS.hepatopancreas_f	GS.hepatopancreas_m	p.GS.hepatopancreas_m	GS.muscle_f	p.GS.muscle_f	GS.muscle_m	p.GS.muscle_m	GS.head_f	p.GS.head_f	GS.head_m	p.GS.head_m	GS.gills_f	p.GS.gills_f	GS.gills_m	p.GS.gills_m
TRINITY_DN9887_c0_g1_i3.p1_Eve;NODE_10005_length_2959_cov_1108.517869_g6099_i0.p1_Eve	PREDICTED: oplophorus-luciferin 2-monooxygenase non-catalytic subunit-like	turquoise	-0.290404593016985	0.0349049402279607	-0.51608161610779	7.64100073222856e-05	-0.479231248526425	0.000282911067787851	-0.375031261837863	0.00565844571891265	-0.441887553570298	0.000924384256308363	0.051188267052449	0.715851348080579	-0.656019353093767	9.69688888241784e-08	-0.227057974158638	0.102043947951669	0.938678042271258	3.07619623073503e-25	-0.487357053618673	0.00021467547368102	0.180042157536665	0.19703555543168	-0.304709549551727	0.0265226803864745	-0.501756792060681	0.000129379660993999	-0.194014527964275	0.16391201979412	-0.161909536956081	0.246752213651036	-0.140543413637443	0.315490995137873	-0.11851987609906	0.39797235210374	0.882399988825137	2.50381199113502e-18	-0.144202348544258	0.30292903826046	-0.0338967341642431	0.809588591890785	-0.200533416357893	0.149933954837798	0.0118458062893845	0.932909112699484	-0.0118458062893845	0.932909112699484	-0.0817484900441521	0.560619130546731	-0.136155145390914	0.33098824133619	-0.0649074412875004	0.644258403603144	-0.123191510709472	0.379500896574839	-0.0980957352552208	0.484672719109863	-0.0680444028534752	0.62830053690164	0.584599972124455	4.29949783840272e-06	0.615593770366904	9.30688526437746e-07	-0.111197419960064	0.42795914256898	-0.0876993391033436	0.532337656863284	0.0157928055958854	0.910634120561591	-0.0604650761490014	0.667130318700185	-0.11118296071414	0.428019589515287	-0.162866546631834	0.243932753203982
NODE_2991_length_4903_cov_94.584054_g1781_i0.p1_Eve;NODE_1001_length_7004_cov_126.537743_g620_i0.p1_Ecy;NODE_2679_length_4743_cov_121.044951_g1734_i0.p1_Gla;TRINITY_DN3587_c0_g1_i10.p1_Gla;TRINITY_DN361_c19_g1_i1.p1_Eve	Sec23A	grey	0.0845247015045407	0.547337632195613	-0.0101331383242736	0.942591487702019	-0.215356958148583	0.121460675033978	0.178410085267771	0.201194108665752	-0.22698057379403	0.102163989233831	-0.270800650026815	0.0498481232749335	-0.110004654368424	0.432961686920441	0.0343464601647374	0.807110321001146	0.208104692370001	0.134829896402632	0.0436360411641858	0.75637241304511	-0.149263223108879	0.286093332893439	-0.0059436341640952	0.966308280214719	0.0603556681741562	0.667697528591481	0.106410595108702	0.44823229260972	0.0668288166678339	0.634464815874795	0.255695598360466	0.0646087317847822	0.0253994295960061	0.856736149016699	0.273212017847467	0.0477684810795443	-0.380692271854295	0.0049214179229749	-0.261586665718135	0.058482922331938	0.0373357958903079	0.790686032414111	0.0781411372425119	0.57809968529197	-0.0781411372425119	0.57809968529197	0.0215328755913736	0.878365664650558	0.0744792788491246	0.596094507196639	0.0427013056800501	0.761435757912819	0.307047630227075	0.0253279678895377	0.130775367703143	0.350627025044236	-0.119394593266325	0.394474346292898	0.25867905366191	0.0614451545468136	0.0981244790352731	0.484544123604784	-0.0878110430342937	0.531813564671035	-0.432912496372915	0.00120497409059099	-0.261736041456084	0.0583339048096303	-0.0748420068411974	0.594301010233293	0.0145445890999527	0.917671913094716	0.0423688219879087	0.763239185053365
TRINITY_DN1507_c1_g1_i1.p1_Eve;NODE_10037_length_3047_cov_776.104069_g2574_i3.p1_Ecy;TRINITY_DN212_c0_g1_i2.p1_Gla;TRINITY_DN385975_c0_g1_i1.p1_Gla	ATP6V0D1	green	0.947134596864486	7.74730885425566e-27	0.670131964149906	4.05638727869418e-08	-0.300282036405485	0.0289145919363939	-0.322284171188623	0.0185979250409092	0.262784556615941	0.0572964967704028	-0.222337498169417	0.109566454455074	0.210739144384361	0.129851402990737	-0.174040300883516	0.212633168581447	-0.119144309356014	0.395473387087256	-0.132455602037244	0.344417846624474	0.18152743707838	0.193304426088411	-0.0871781196558299	0.534786461704224	0.103902490616681	0.459062220444254	-0.177258387905812	0.20416579303845	-0.0796690227561406	0.57066551424505	-0.0623025730980413	0.657631868021099	-0.129287182799654	0.35618361612883	-0.0267387947059751	0.84926718617782	-0.123137727688327	0.37971059628984	-0.223269190778013	0.108049002418123	0.88416934599541	1.7389579398931e-18	-0.0397454178512724	0.777511839645977	0.0397454178512724	0.777511839645977	-0.044964120477938	0.749195840599368	-0.0642725399955801	0.64750792874915	-0.0125192804971792	0.929104261455068	-0.0729057038781026	0.603902549362068	-0.117021130153188	0.40400783594459	-0.06024852375348	0.6682531819669	0.0253235580484759	0.857159625485987	-0.0619859462355154	0.659264818384315	-0.101109453507198	0.471287992310655	-0.0677284923546834	0.629900134955558	-0.184400418890879	0.186230736815671	-0.109888139575445	0.433452111895633	0.66092757462607	7.19886513373489e-08	0.551384354255332	1.87754907300214e-05
TRINITY_DN3725_c1_g1_i1.p1_Eve;NODE_10059_length_2953_cov_46.277893_g5221_i1.p1_Eve;TRINITY_DN640_c5_g1_i3.p1_Ecy;TRINITY_DN122935_c0_g1_i3.p1_Gla;TRINITY_DN100545_c0_g2_i1.p1_Gla	ARSB	turquoise	0.0603839700788894	0.667550783766038	-0.256506985711563	0.063735723237423	-0.500590822208652	0.000134908361493203	-0.386040382788669	0.00430391860847023	-0.381417556844517	0.00483336292228851	-0.178636979987796	0.200612288517117	-0.514141180110905	8.21735373228559e-05	-0.161359266525335	0.248383364164784	0.825493686517277	2.86379707888303e-14	-0.420209480230213	0.00173245302352697	0.271063341161373	0.0496180555888727	-0.281636633429345	0.0410511130306693	-0.388716118874397	0.00402137671374195	-0.122043685006228	0.383991252332008	-0.08273601028857	0.555877484179927	-0.203627085339611	0.143617845142649	-0.142812722860792	0.307661393571939	0.81536644380002	1.05960307146335e-13	-0.256897883724685	0.0633185256628354	-0.183394535121531	0.188685930573853	0.145835879737737	0.29742643969529	0.00747115180454809	0.957656572152884	-0.00747115180454809	0.957656572152884	-0.0800123281804596	0.569001207113648	-0.0356567998871425	0.799900318873272	-0.0795692632666383	0.571149558834225	-0.190809102726001	0.171124543305651	-0.12685068514028	0.36539653199273	-0.0703641577191442	0.616606784418056	0.549636388820455	2.02026300894066e-05	0.561520774409211	1.21763551243361e-05	-0.159587589160784	0.253684733702277	-0.190505213762115	0.171820101045918	-0.147585238636336	0.291606012142712	-0.0950229272336001	0.498522902011886	0.194909575999443	0.161938355843018	0.00383122779334992	0.978278875337288
TRINITY_DN606_c1_g1_i10.p1_Ecy;NODE_10068_length_3041_cov_162.558155_g2352_i4.p1_Ecy;TRINITY_DN19060_c0_g1_i7.p1_Eve;NODE_4518_length_4202_cov_85.858175_g2699_i0.p1_Eve;TRINITY_DN27967_c0_g1_i10.p1_Gla;NODE_3528_length_4341_cov_133.585974_g2271_i0.p1_Gla	PLOD1	black	0.0102289036384261	0.942049858998554	0.128299954556803	0.359899276056768	-0.0993714507041211	0.478982666255399	-0.00976488824745653	0.944674471379158	0.170860620772683	0.221238195076826	0.158120189466806	0.258133076772516	0.187584516929068	0.178610071745669	0.0185653899592286	0.895026603480495	-0.137569006290504	0.325943854847893	0.360673321131337	0.00797608327390129	-0.140752411123655	0.314764647152484	0.757956268875318	4.9831335510607e-11	-0.0298588535395976	0.831920100861069	-0.0213857103785336	0.879190753227744	-0.0183225072840362	0.896392358110885	-0.0899884352025375	0.521648620834298	-0.00262035414190195	0.985142969004349	-0.134098142949784	0.338414211379366	0.0555804139726118	0.692629772079053	0.117392469463437	0.402507513033708	0.0477432613898876	0.734246778709076	0.581988195824438	4.85646695754011e-06	-0.581988195824438	4.85646695754011e-06	0.139051560830432	0.320706761035135	-0.164084871503559	0.240375302568835	0.024401928033815	0.862306847764865	-0.133707825567877	0.339834916858841	0.234754221193525	0.0906421883564437	-0.288377467790465	0.0362534858860835	-0.0498675939681037	0.722885154080209	-0.144589698422445	0.301618337329314	0.272627216585102	0.0482662170977132	-0.196689914514568	0.158064381205677	0.357428411957139	0.0086017096388375	-0.255199173580806	0.0651475610291982	0.107274032660347	0.444536841940233	-0.0420443194778782	0.765000524420695
NODE_100936_length_699_cov_11987.683077_g29452_i1.p1_Eve;NODE_78071_length_689_cov_11091.246875_g56226_i0.p1_Ecy;NODE_14156_length_2522_cov_3693.903761_g9483_i1.p1_Gla	RPL18A	yellow	0.301232691133229	0.0283863714874766	0.72578221033705	7.81118449865854e-10	0.666712918481315	5.03143683582135e-08	0.377596826376658	0.0053132454251864	0.732379001107895	4.58800819671051e-10	0.166177649769186	0.234347615376069	0.946852405936036	8.84356440722767e-27	-0.537867181083387	3.27392068775063e-05	-0.60276279930067	1.78834883300904e-06	0.665396083123267	5.46262440894247e-08	-0.122189473626249	0.383419176953809	0.408318941429626	0.00240358853304907	0.739360615917762	2.5678445783679e-10	-0.597158393126681	2.35776161840751e-06	0.17997503720537	0.197205366115922	0.157040779195574	0.261438550651189	0.118026376557514	0.399953839149362	-0.538736505548493	3.16117806896812e-05	0.397961291323245	0.00316677088946834	0.109959195618694	0.433152991270744	0.142148030739942	0.309941687942036	-0.135404038486789	0.333687865214295	0.135404038486789	0.333687865214295	0.16827362215215	0.228415680157728	0.078495716202718	0.576370491776506	0.144104504825463	0.303260698794514	0.0712189632430777	0.612321237024042	0.123993818923747	0.376380911611844	0.0378357953592903	0.787947463001168	-0.349370293654945	0.0103424212693578	-0.389307986878556	0.00396113170662318	0.310761428946844	0.02352330669859	0.234895602581505	0.0904424503635382	0.0713022911749798	0.611904158810309	0.0752723505440202	0.592176299860202	0.0328451707341692	0.815390557790449	0.162058389441877	0.24631222866702
NODE_10114_length_2944_cov_11444.185838_g4667_i1.p1_Eve;TRINITY_DN25900_c0_g1_i4.p1_Eve;TRINITY_DN8729_c0_g1_i4.p1_Gla;TRINITY_DN8729_c0_g1_i1.p1_Gla	HCB	tan	0.163543863258739	0.241950618023802	0.625937332569332	5.38014016683609e-07	0.504214013230536	0.000118400143287651	0.695842422355832	7.30326440428124e-09	0.669169205416716	4.31127454682063e-08	0.263459957516647	0.0566361692943923	0.74805131907131	1.21464724991196e-10	-0.548082541936407	2.15546973470718e-05	-0.492752937679878	0.000178039501673908	0.723033879990658	9.70611559319e-10	0.0459198892436551	0.744044099974926	0.220266369427619	0.112998212182781	0.961554646204735	2.73662509989729e-30	-0.587926919564254	3.67586926367376e-06	0.278906869153099	0.0431369268191753	0.0973789393786888	0.487885354768193	0.373384318472259	0.00589024727710784	-0.395674775115213	0.00336163145915111	0.000375473105891344	0.997871004583353	0.166613914874303	0.233104274813757	0.020296930465715	0.885298946447983	-0.325591373520842	0.017357601389749	0.325591373520842	0.017357601389749	0.125300151702599	0.371333874809124	0.25711768041598	0.0630849044267067	-0.0213446141162068	0.879421184100877	0.154863888862943	0.268190866025752	0.210513661857021	0.13027201474599	0.30144512227337	0.0282694456248204	-0.244408990014882	0.0777735962604856	-0.298112928441369	0.0301506228462181	0.0439969929993436	0.754419882244244	-0.0434821702141974	0.757205221513002	0.0135396213927604	0.923342778747155	0.21649082542994	0.119464754822834	-0.0248127168620421	0.860011914546381	0.052642465806302	0.708133393124058
NODE_10134_length_2942_cov_218.915313_g6180_i0.p1_Eve;NODE_18055_length_2199_cov_146.785581_g10689_i0.p1_Ecy;TRINITY_DN30332_c0_g1_i8.p1_Gla	Transferrin receptor-like dimerization domain	turquoise	-0.253276531377763	0.0672684533119345	-0.364529265065916	0.00728436492224252	-0.224341858233101	0.106321989751455	-0.100337347618928	0.47469815054161	-0.332659485203571	0.0149409584390949	0.0120553591974501	0.931725061890627	-0.451829708494359	0.000683296383630136	-0.230624712035237	0.0966294818839204	0.803776837761469	4.30825103613282e-13	-0.262085886489405	0.057986096180666	0.188827341903965	0.175697488462779	-0.284202629273741	0.039166724725415	-0.151988036392158	0.277287974333613	-0.188668503792212	0.176067800772976	0.0950463346285881	0.498416630973754	-0.128629700141048	0.35865558493234	-0.0641010253036795	0.648386890682201	0.789182780874388	2.21980646955029e-12	-0.199306296097815	0.15249540135325	-0.0673727978211588	0.631703194741809	-0.217289096743618	0.118074600100129	-0.144586242702178	0.301630014455417	0.144586242702178	0.301630014455417	0.0424520318840691	0.762787728281256	0.0878689363654782	0.53154204074038	-0.118866895918544	0.396582450418689	-0.0575012631854927	0.682560060184184	-0.128411014298006	0.359480102358327	0.0405201164952873	0.773289265020446	0.485357451472112	0.000229909684147563	0.596715460979645	2.40929983009304e-06	-0.11278493877716	0.421351894700562	-0.160490086369215	0.250974729597902	-0.0897503048506421	0.522755566922426	0.00381104877042629	0.97839325298609	-0.0961009401082778	0.493640809179178	-0.201830859033197	0.147260495370768
NODE_10137_length_3030_cov_1051.626300_g5737_i1.p1_Ecy;NODE_9765_length_3093_cov_1007.982589_g5737_i0.p1_Ecy;NODE_25482_length_1748_cov_286.558564_g5737_i3.p1_Ecy;TRINITY_DN6129_c0_g1_i6.p1_Gla;TRINITY_DN6129_c0_g1_i2.p1_Gla;TRINITY_DN6129_c0_g1_i5.p1_Gla	SERPINB1	green	0.622583101645871	6.4405206191293e-07	0.40638457794541	0.00253228284595395	-0.447254273524435	0.000786140578093602	-0.280206617378338	0.0421332033590504	0.228138666645427	0.100379240727303	0.149479374629754	0.285388211312115	-0.072427438336286	0.606284493380393	-0.204020640226287	0.142828769903278	0.159636777838223	0.253536523462491	-0.151206728924735	0.279794278699374	0.225276494662961	0.104834588448771	-0.141934906224371	0.31067512016879	0.0138012370804483	0.921866149459539	-0.213743239994682	0.12434476138148	-0.141193332908464	0.313235772841867	-0.215569359009848	0.121084877691301	-0.0573279591465285	0.683466360874814	0.219916044588561	0.113586720053228	-0.281983089983691	0.0407924167697704	0.103886283371759	0.459132662219674	0.556930638202991	1.48404176192022e-05	-0.00889213568446477	0.949612582831874	0.00889213568446477	0.949612582831874	-0.114035029049798	0.416190144999435	-0.0795595154101753	0.571196866728064	-0.148241499609885	0.289441808177931	-0.147332313950389	0.292442911767839	-0.130506782030838	0.351625907029799	0.0519026446599375	0.712056312466724	0.15136294038728	0.279291987488035	0.150170748169834	0.283140498251028	-0.215920598451425	0.120465372807488	-0.170715135164973	0.221637625361633	0.153668356783703	0.271948200831531	-0.0224361608061632	0.87330419398626	0.520639992298484	6.42987823952635e-05	0.24298482608164	0.0795754340218588
NODE_101962_length_755_cov_7.694051_g82313_i0.p1_Gla	PREDICTED: oplophorus-luciferin 2-monooxygenase non-catalytic subunit-like	turquoise	-0.284045990744759	0.0392796756478556	-0.504333269824772	0.000117889619419695	-0.355559990912466	0.00898090831623679	-0.377012453372494	0.0053902075630732	-0.512758828082595	8.65195650017571e-05	-0.159988298008977	0.252479061969246	-0.611287028843038	1.16254345526434e-06	-0.171737368157345	0.218841685027806	0.942312253244303	6.76971149877538e-26	-0.479586919271432	0.000279553879732621	0.0497211862750738	0.723666323614128	-0.327522356657465	0.0166664891696144	-0.480904924222986	0.000267426465216989	-0.13792057413606	0.32469709659252	0.0180600476448999	0.897868530876284	-0.129632271564451	0.354890350272977	-0.153310475051728	0.273079723074899	0.919568423896901	2.46052432637083e-22	-0.082249197610468	0.558212574378535	-0.219887672469639	0.113634484472345	-0.222969312821132	0.108535643210626	0.00468978030071003	0.973412904997272	-0.00468978030071003	0.973412904997272	0.0329732735982476	0.814683222314955	-0.0017375159639776	0.990148224935147	-0.0588130346105502	0.675714572957904	-0.114618962834177	0.41379148700482	-0.0533350768475872	0.704467602043256	-0.158253480591639	0.257726859025332	0.646963754818351	1.65667968908148e-07	0.605020646172932	1.5974930580175e-06	-0.0483765625584381	0.730853639748337	-0.0636050037136773	0.650931527173236	-0.198844511042599	0.153467634728411	-0.0915062943847381	0.514620474945905	-0.111430989642756	0.42698337160833	-0.188657700717704	0.176093007356302
