protein_group	eggnog_annot	diamond_annot	annotation	eggnog_proteins_annot	diamond_proteins_annot	organism_eggnog	organism_diamond	go_annotation	upd_full_annot
TRINITY_DN9887_c0_g1_i3.p1_Eve;NODE_10005_length_2959_cov_1108.517869_g6099_i0.p1_Eve	*	PREDICTED: oplophorus-luciferin 2-monooxygenase non-catalytic subunit-like	PREDICTED: oplophorus-luciferin 2-monooxygenase non-catalytic subunit-like		PREDICTED: oplophorus-luciferin 2-monooxygenase non-catalytic subunit-like:2		Arthropoda	*	PREDICTED: oplophorus-luciferin 2-monooxygenase non-catalytic subunit-like
NODE_2991_length_4903_cov_94.584054_g1781_i0.p1_Eve;NODE_1001_length_7004_cov_126.537743_g620_i0.p1_Ecy;NODE_2679_length_4743_cov_121.044951_g1734_i0.p1_Gla;TRINITY_DN3587_c0_g1_i10.p1_Gla;TRINITY_DN361_c19_g1_i1.p1_Eve	*	Sec23/Sec24 helical domain	Sec23/Sec24 helical domain		Sec23/Sec24 helical domain:3;Protein transport protein Sec23A:2		Arthropoda	Sec23A	Sec23A
NODE_10010_length_2958_cov_345.625301_g4963_i1.p1_Eve;NODE_31403_length_1499_cov_589.685517_g5926_i1.p1_Ecy;NODE_33796_length_1416_cov_487.012436_g5926_i2.p1_Ecy;NODE_29960_length_1740_cov_495.026611_g2836_i5.p1_Gla	*	PREDICTED: sucrase-isomaltase, intestinal-like isoform X1	PREDICTED: sucrase-isomaltase, intestinal-like isoform X1		PREDICTED: sucrase-isomaltase, intestinal-like isoform X1:4		Arthropoda	SI	SI
TRINITY_DN41795_c0_g1_i2.p1_Ecy;TRINITY_DN41795_c0_g1_i4.p1_Ecy;TRINITY_DN16531_c0_g1_i3.p1_Eve;NODE_13435_length_2558_cov_71.005580_g2631_i5.p1_Eve;NODE_10026_length_3050_cov_22.511496_g5895_i0.p1_Ecy;NODE_78261_length_849_cov_25.857500_g58868_i0.p1_Eve;TRINITY_DN16531_c0_g1_i1.p1_Eve;NODE_11953_length_2722_cov_18.511785_g8029_i0.p1_Gla;TRINITY_DN12168_c0_g2_i2.p1_Gla	MEP1B	PREDICTED: zinc metalloproteinase nas-15-like, partial	MEP1B	MEP1B:2	PREDICTED: zinc metalloproteinase nas-15-like, partial:5;zinc metalloproteinase nas-4-like isoform X1:1;Peptidase M12A:3	Insecta	Arthropoda	MEP1B	MEP1B
TRINITY_DN1507_c1_g1_i1.p1_Eve;NODE_10037_length_3047_cov_776.104069_g2574_i3.p1_Ecy;TRINITY_DN212_c0_g1_i2.p1_Gla;TRINITY_DN385975_c0_g1_i1.p1_Gla	*	V-type proton ATPase subunit D-like	V-type proton ATPase subunit D-like		V-type proton ATPase subunit D-like:2;ATPase V1 complex subunit D:1;V-type proton ATPase subunit D:1		Arthropoda;Brachiopoda	ATP6V0D1	ATP6V0D1
TRINITY_DN3725_c1_g1_i1.p1_Eve;NODE_10059_length_2953_cov_46.277893_g5221_i1.p1_Eve;TRINITY_DN640_c5_g1_i3.p1_Ecy;TRINITY_DN122935_c0_g1_i3.p1_Gla;TRINITY_DN100545_c0_g2_i1.p1_Gla	*	PREDICTED: arylsulfatase B-like isoform X1	PREDICTED: arylsulfatase B-like isoform X1		PREDICTED: arylsulfatase B-like isoform X1:3;Sulfatase N-terminal:1;PREDICTED: arylsulfatase B-like isoform X2:1		Arthropoda	ARSB	ARSB
TRINITY_DN210860_c0_g1_i12.p1_Gla;NODE_100625_length_763_cov_37.794118_g81092_i0.p1_Gla;TRINITY_DN210860_c0_g1_i8.p1_Gla	rap-1	Ras family protein	rap-1	RAP1A:1;rap-1:2	Ras family protein:1;PREDICTED: ras-related protein Rap-1b-like:1;ras-related protein Rap-1b-like:1	Actinopterygii;Chordata	Chordata;Nematoda	rap-1	rap-1
TRINITY_DN606_c1_g1_i10.p1_Ecy;NODE_10068_length_3041_cov_162.558155_g2352_i4.p1_Ecy;TRINITY_DN19060_c0_g1_i7.p1_Eve;NODE_4518_length_4202_cov_85.858175_g2699_i0.p1_Eve;TRINITY_DN27967_c0_g1_i10.p1_Gla;NODE_3528_length_4341_cov_133.585974_g2271_i0.p1_Gla	PLOD1	PREDICTED: procollagen-lysine,2-oxoglutarate 5-dioxygenase 1-like isoform X4	PLOD1	PLOD1:1	PREDICTED: procollagen-lysine,2-oxoglutarate 5-dioxygenase 1-like isoform X4:4;PREDICTED: procollagen-lysine,2-oxoglutarate 5-dioxygenase 1-like isoform X1:1;Oxoglutarate/iron-dependent dioxygenase:1	Insecta	Arthropoda	PLOD1	PLOD1
NODE_100936_length_699_cov_11987.683077_g29452_i1.p1_Eve;NODE_78071_length_689_cov_11091.246875_g56226_i0.p1_Ecy;NODE_14156_length_2522_cov_3693.903761_g9483_i1.p1_Gla	RPL18A	50S ribosomal protein L18Ae/60S ribosomal protein L20 and L18a	RPL18A	RPL18A:3	50S ribosomal protein L18Ae/60S ribosomal protein L20 and L18a:3	Metazoa	Arthropoda	RPL18A	RPL18A
TRINITY_DN1864_c0_g1_i33.p1_Eve;TRINITY_DN4935_c0_g1_i2.p1_Gla;TRINITY_DN1864_c0_g1_i42.p1_Eve;NODE_9116_length_3197_cov_49.577192_g5355_i0.p2_Ecy;NODE_10099_length_3036_cov_59.928356_g5355_i1.p1_Ecy;TRINITY_DN408_c0_g4_i1.p1_Gla;TRINITY_DN40652_c0_g1_i6.p1_Gla;NODE_22404_length_2024_cov_23.333671_g15650_i0.p1_Gla	goa-1	GTP binding protein alpha subunit Go	goa-1	goa-1:2;GNAO1:1	GTP binding protein alpha subunit Go:3;Guanine nucleotide binding protein (G-protein) alpha subunit:2;Guanine nucleotide-binding G(o) subunit alpha, partial:1;G alpha o subunit isoform X1:2	Chiroptera;Rhabditida	Rotifera;Arthropoda	goa-1	goa-1
